Narration,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
Cash from Operating Activity,1712.3,-51.12,1242.92,-348,4139,-724,1370,1695,-541,5590
Cash from Investing Activity,-953.15,97.62,-796.61,235,-2799,1165,-1814,-189,546,-2965
Cash from Financing Activity,-165.6,-252.45,-488.83,-242,-1234,-403,457,-1329,-7,-2159
Net Cash Flow,593.55,-205.95,-42.52,-355,106,38,13,177,-2,466
